frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
0,0,903.889,241.36,0.906072,876.892,229.399,0.945076,867.656,229.291,0.87058,870.697,292.557,0.819488,846.584,346.76,0.768742,885.831,361.835,0.825321,843.589,349.695,0.812773,861.77,346.755,0.897245,891.785,229.523,0.872907,891.819,298.569,0.886216,870.775,364.809,0.720254,900.741,129.843,0.933386,858.635,355.856,0.7456
1,0.04,903.825,244.364,0.91388,876.827,229.354,0.949473,864.721,229.244,0.86962,867.761,289.599,0.80635,846.61,346.733,0.74477,885.857,361.788,0.830114,843.611,349.657,0.796692,864.695,346.706,0.888388,888.76,229.488,0.882135,888.822,298.531,0.87917,870.706,361.848,0.714971,897.87,129.862,0.91586,855.777,355.767,0.760409
2,0.08,903.773,247.313,0.931501,876.725,229.417,0.936958,861.702,229.318,0.878861,867.709,292.513,0.806302,846.592,346.716,0.745115,885.824,361.81,0.82627,843.571,346.916,0.799222,864.68,346.716,0.888449,882.883,232.315,0.886522,882.851,298.535,0.889083,867.768,361.825,0.705521,897.864,129.876,0.918051,855.745,352.935,0.752445
3,0.12,903.78,244.375,0.914575,876.623,229.35,0.933808,858.736,229.248,0.892168,861.68,286.621,0.821994,846.569,346.744,0.770456,888.789,361.81,0.835707,840.632,349.669,0.83933,864.652,346.68,0.895423,882.756,229.482,0.914395,879.867,295.582,0.897415,870.668,361.875,0.725689,894.813,129.917,0.893488,855.749,355.8,0.784954
4,0.16,900.974,241.446,0.896255,876.581,229.476,0.905802,858.684,229.399,0.899259,858.774,289.617,0.840012,843.666,346.745,0.770807,888.748,358.893,0.83227,840.584,349.674,0.845098,861.764,346.683,0.89488,879.924,232.372,0.902676,879.688,295.652,0.933007,864.724,361.828,0.729267,894.823,129.973,0.904741,855.64,355.766,0.797708
5,0.2,900.832,244.346,0.891212,873.739,229.341,0.911007,858.672,229.261,0.896155,858.727,289.541,0.838994,843.672,346.743,0.752112,885.779,355.897,0.825903,840.589,349.68,0.824712,864.698,346.638,0.868373,879.808,229.459,0.9369,876.788,295.573,0.916365,861.709,361.826,0.741628,885.781,129.968,0.908023,852.722,352.932,0.7987
6,0.24000000000000002,900.805,241.381,0.878777,873.714,229.278,0.907451,858.659,226.43,0.905193,858.643,286.572,0.847213,846.566,346.685,0.643005,882.837,352.898,0.837035,840.62,346.885,0.704138,870.651,343.718,0.801657,879.765,229.406,0.932482,873.635,292.619,0.850595,858.641,361.83,0.755907,882.724,130.042,0.941316,849.677,352.864,0.765574
7,0.28,900.693,244.385,0.875289,870.716,229.29,0.883092,855.76,226.412,0.924759,855.751,283.618,0.870615,846.583,346.758,0.582001,879.921,349.895,0.854822,843.645,349.715,0.621187,867.758,340.733,0.787523,879.641,229.411,0.936505,858.752,289.557,0.840826,855.785,361.785,0.790104,879.852,130.109,0.964752,849.607,352.865,0.786436
8,0.32,900.689,244.435,0.866549,867.696,229.319,0.87779,855.67,226.452,0.931955,855.809,283.553,0.850309,849.567,346.625,0.445163,879.671,349.674,0.854394,846.61,346.823,0.476717,873.658,334.792,0.80935,876.823,229.445,0.940678,855.583,289.505,0.860584,855.551,355.783,0.856636,879.703,130.112,0.981445,843.671,349.933,0.8285
9,0.36,900.674,244.427,0.8736,864.764,229.34,0.879849,855.643,229.264,0.932428,855.722,283.512,0.853033,846.621,346.903,0.469401,876.693,346.78,0.866305,846.588,349.828,0.49997,867.755,337.767,0.808492,876.798,229.439,0.946077,849.704,283.565,0.844342,852.777,352.899,0.872549,876.855,130.116,0.980029,846.57,349.962,0.820467
10,0.39999999999999997,897.847,244.328,0.855056,861.709,229.329,0.878481,855.539,229.253,0.932844,855.649,280.652,0.843492,834.602,349.692,0.385303,867.748,349.694,0.804441,831.728,349.9,0.422525,861.762,340.737,0.77224,876.653,229.426,0.912282,846.674,283.575,0.815801,846.683,355.841,0.830821,876.616,132.859,0.939277,831.65,352.818,0.873626
11,0.43999999999999995,894.81,244.322,0.853862,858.648,229.352,0.921728,852.654,229.315,0.951145,855.792,286.51,0.858286,843.697,349.726,0.243378,855.714,349.781,0.924862,834.716,349.886,0.279042,867.703,343.711,0.821711,873.684,229.418,0.899699,831.64,280.625,0.915016,834.559,352.924,0.918108,870.747,132.887,0.914403,828.466,352.798,0.930229
12,0.4799999999999999,888.786,244.356,0.862572,855.696,229.37,0.952525,849.686,229.335,0.928275,855.699,283.627,0.880271,855.583,346.817,0.372075,840.608,349.666,0.886942,849.708,349.81,0.38889,864.72,343.655,0.823979,867.758,229.437,0.879808,831.461,280.536,0.964996,825.44,349.931,0.888109,864.674,132.862,0.902592,807.607,349.838,0.897052
13,0.5199999999999999,882.764,247.432,0.922249,852.709,232.334,0.919013,846.575,229.47,0.85387,855.689,286.592,0.851813,852.571,346.835,0.772398,825.516,355.767,0.889354,846.653,349.804,0.766445,864.684,343.663,0.835745,858.706,232.468,0.871299,828.484,289.532,0.922477,801.383,352.825,0.747018,855.82,132.973,0.937032,789.408,349.773,0.716204
14,0.5599999999999999,879.859,244.434,0.911734,852.506,232.356,0.894697,837.602,229.461,0.859611,855.645,292.535,0.858603,846.576,346.918,0.802261,807.464,355.81,0.80772,837.596,352.748,0.826644,864.759,343.699,0.843856,855.724,235.322,0.904916,825.555,292.549,0.892944,783.416,352.83,0.764483,855.538,133.014,0.989386,780.318,349.648,0.77436
15,0.6,876.756,247.375,0.934153,846.645,232.412,0.856784,831.74,229.512,0.887606,855.565,292.567,0.865176,843.625,349.706,0.724596,792.422,355.804,0.835313,834.615,352.799,0.773582,867.705,343.717,0.840177,852.794,235.363,0.916979,822.506,295.509,0.880593,771.37,349.871,0.823088,852.511,133.068,0.92677,762.397,346.764,0.788945
16,0.64,876.584,247.389,0.935535,837.564,232.423,0.860502,831.479,232.364,0.903442,852.675,292.529,0.866622,843.621,349.784,0.708887,783.366,358.786,0.834615,834.633,352.876,0.757519,864.76,343.716,0.836416,852.487,235.345,0.882753,810.637,295.599,0.890916,759.412,349.834,0.833395,843.635,133.073,0.889294,759.201,346.685,0.807598
17,0.68,867.701,250.301,0.911857,831.688,244.338,0.877113,828.61,241.42,0.873166,849.701,292.589,0.845453,846.576,349.785,0.730945,780.244,355.858,0.820956,837.586,352.887,0.759032,864.714,340.772,0.822421,840.674,244.422,0.829454,807.454,298.451,0.925164,756.328,349.92,0.830722,831.751,136.067,0.888977,753.323,346.764,0.80988
18,0.7200000000000001,855.761,250.451,0.976543,828.535,247.301,0.90675,822.468,244.398,0.809334,843.631,295.578,0.833912,843.622,349.781,0.692481,777.38,355.85,0.843289,834.622,352.892,0.729613,861.737,343.692,0.826353,831.657,247.374,0.915436,798.521,295.649,0.900166,756.236,352.888,0.825102,831.499,136.054,0.930695,750.312,349.702,0.800022
