frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
0,0,0.947347,0.436451,0.91785,0.919017,0.429858,0.941036,0.90836,0.42969,0.855065,0.911833,0.53126,0.86066,0.886962,0.638333,0.674419,0.926098,0.675762,0.879134,0.883461,0.644583,0.723682,0.901204,0.638082,0.869319,0.926132,0.430089,0.930248,0.922674,0.543621,0.878122,0.908283,0.675839,0.737705,0.940236,0.228352,0.878868,0.894198,0.663458,0.753663
1,0.04,0.94733,0.436407,0.914664,0.918947,0.42987,0.939836,0.904855,0.429689,0.855539,0.908359,0.53113,0.864899,0.886977,0.638272,0.708578,0.926128,0.675668,0.875098,0.883488,0.644553,0.758417,0.901252,0.632148,0.880676,0.926043,0.430107,0.94188,0.9226,0.543481,0.891582,0.908308,0.675806,0.745075,0.93671,0.228314,0.871175,0.89421,0.66344,0.760243
2,0.08,0.947291,0.43653,0.90481,0.91886,0.429965,0.937006,0.901289,0.42979,0.872308,0.901328,0.531154,0.875902,0.886963,0.638315,0.732548,0.926107,0.669834,0.872226,0.883493,0.644591,0.786507,0.901186,0.632134,0.897342,0.922708,0.430185,0.948025,0.922592,0.543535,0.89263,0.911818,0.67586,0.764416,0.933117,0.228358,0.872835,0.897631,0.669466,0.759196
3,0.12,0.947199,0.44259,0.87996,0.915475,0.429954,0.923805,0.897749,0.429756,0.892788,0.897825,0.531121,0.897771,0.883519,0.638302,0.748528,0.926139,0.675687,0.860689,0.879976,0.644617,0.799668,0.897766,0.632174,0.912127,0.92262,0.43019,0.958492,0.922549,0.543513,0.899936,0.911895,0.675899,0.772939,0.929583,0.228426,0.868694,0.897701,0.66955,0.753724
4,0.16,0.947177,0.442568,0.879144,0.915378,0.429881,0.907629,0.897667,0.429702,0.891819,0.897709,0.531077,0.905236,0.88692,0.638268,0.732081,0.926111,0.669829,0.855934,0.883416,0.644554,0.786282,0.901197,0.632103,0.898929,0.92252,0.430126,0.959995,0.92242,0.537367,0.907265,0.908326,0.675845,0.74087,0.926138,0.228427,0.879679,0.894231,0.669485,0.751565
5,0.2,0.947176,0.436472,0.890928,0.91531,0.429928,0.896148,0.89762,0.429748,0.902192,0.897756,0.531092,0.896739,0.886965,0.638267,0.724018,0.926117,0.669764,0.848566,0.883462,0.644554,0.786861,0.904726,0.632031,0.880232,0.922444,0.430164,0.95309,0.919025,0.537427,0.90203,0.904833,0.675858,0.751573,0.925991,0.234284,0.879604,0.894161,0.669492,0.769023
6,0.24000000000000002,0.947145,0.436383,0.876957,0.911919,0.429925,0.893025,0.894343,0.429737,0.912978,0.897681,0.531058,0.896043,0.883568,0.638176,0.663739,0.922664,0.669704,0.86452,0.883426,0.644462,0.733901,0.908258,0.631913,0.852811,0.922373,0.430164,0.949064,0.915449,0.537439,0.873121,0.897733,0.675889,0.764456,0.92266,0.234366,0.894538,0.890604,0.669485,0.770818
7,0.28,0.947109,0.44249,0.871146,0.911803,0.429997,0.885745,0.894263,0.429808,0.937189,0.894331,0.531171,0.903187,0.883459,0.63817,0.564409,0.922473,0.669614,0.874946,0.879916,0.644448,0.637461,0.904809,0.631885,0.828185,0.919081,0.430231,0.944454,0.904831,0.537402,0.839918,0.894284,0.67599,0.78176,0.922586,0.234483,0.920166,0.89047,0.669522,0.761447
8,0.32,0.943757,0.442597,0.876302,0.908254,0.42981,0.882591,0.894153,0.423838,0.939757,0.894178,0.530928,0.925145,0.883494,0.638336,0.500163,0.922386,0.663434,0.837287,0.879989,0.644604,0.565839,0.908295,0.631817,0.817736,0.918989,0.430058,0.953337,0.89765,0.537236,0.884557,0.894178,0.675918,0.822267,0.922352,0.234491,0.925276,0.890417,0.669475,0.780824
9,0.36,0.943682,0.44266,0.850813,0.904808,0.423941,0.880666,0.894158,0.423672,0.934058,0.893989,0.530852,0.901563,0.883483,0.638105,0.467723,0.919096,0.657007,0.819136,0.879974,0.644414,0.527155,0.908278,0.62572,0.81052,0.918932,0.429904,0.952717,0.894084,0.531188,0.909862,0.894041,0.675704,0.845695,0.918917,0.234444,0.908055,0.886974,0.663298,0.782728
