frame,elapsed_time(s),CLAV_x,CLAV_y,CLAV_z,LASI_x,LASI_y,LASI_z,RASI_x,RASI_y,RASI_z,LKNE_x,LKNE_y,LKNE_z,LANK_x,LANK_y,LANK_z,LHEE_x,LHEE_y,LHEE_z,LTOE_x,LTOE_y,LTOE_z,RKNE_x,RKNE_y,RKNE_z,RANK_x,RANK_y,RANK_z,RHEE_x,RHEE_y,RHEE_z,RTOE_x,RTOE_y,RTOE_z,spine-hip_x,spine-hip_y,spine-hip_z,,
780,7.79,-107.589,2500.66,1276.44,3.33546,2492.16,900.782,-252.386,2491.3,894.855,31.8234,2626.1,440.244,13.5272,2693.45,52.38,-49.5456,2749.99,15.1495,-33.6756,2519.03,16.3915,-282.872,2608.27,422.843,-249.032,2641.39,29.4593,-196.7,2698.81,36.2629,-196.816,2469.05,24.0722,-124.52527,2491.73,897.8185,,
784,7.83,-109.399,2495.41,1275.77,0.921213,2486.51,899.87,-254.47,2486.82,894.079,30.9672,2622.09,439.773,14.1475,2693.53,52.5135,-49.2353,2750.15,14.8712,-33.3456,2519.03,16.3096,-284.266,2605.76,422.487,-249.165,2641.36,29.4274,-196.915,2698.75,36.417,-196.827,2468.93,23.8038,-126.7743935,2486.665,896.9745,,
788,7.87,-111.957,2489.2,1275.15,-1.93739,2480.82,899.125,-257.34,2481.67,893.463,29.2115,2615.11,439.312,14.9352,2693.46,53.0242,-48.8477,2750.23,14.8816,-32.9097,2519.02,16.1822,-285.631,2602.45,422.106,-249.229,2641.26,29.4861,-197.168,2698.65,36.6177,-196.937,2468.79,23.5042,-129.638695,2481.245,896.294,,
792,7.91,-115.21,2482.06,1274.35,-5.81893,2473.78,898.682,-261.31,2475.73,892.966,25.9701,2604.37,438.517,15.8777,2693.12,53.9962,-48.4023,2750.17,15.3573,-32.3111,2518.94,16.0177,-287.369,2598.26,421.757,-249.334,2641.16,29.433,-197.365,2698.54,36.865,-196.942,2468.54,22.938,-133.564465,2474.755,895.824,,
796,7.95,-119.174,2473.74,1272.69,-9.86839,2467.81,897.73,-265.855,2469.43,892.399,19.9362,2586.73,435.504,16.3999,2691.98,55.7416,-48.2716,2749.54,17.2809,-31.681,2518.65,15.8269,-289.867,2592.66,420.815,-249.584,2641.08,29.3205,-197.71,2698.48,37.1343,-197.033,2468.28,21.8179,-137.861695,2468.62,895.0645,,
800,7.99,-123.849,2463.65,1269.54,-15.1445,2462.01,896.057,-270.445,2462.74,891.808,10.3756,2559.34,432.214,16.4433,2689.35,59.5787,-48.6462,2747.74,22.7804,-31.0077,2518.15,15.3698,-293.186,2585.31,419.282,-249.98,2640.9,29.0349,-198.417,2698.54,37.1716,-197.163,2468.14,20.4446,-142.79475,2462.375,893.9325,,
804,8.03,-128.033,2452.86,1264.57,-19.6123,2459.27,892.87,-274.393,2455.83,890.225,-1.66399,2520.6,430.366,17.6092,2683.27,70.5961,-49.0633,2742.35,36.8591,-30.1919,2516.2,14.5472,-298.229,2578.58,416.843,-250.455,2640.9,28.2209,-199.258,2698.84,36.7821,-197.094,2468.21,19.5212,-147.00265,2457.55,891.5475,,
808,8.07,-131.595,2440.4,1258.84,-23.422,2456.7,890.07,-277.304,2447.96,888.146,-7.52456,2471.68,432.074,15.3429,2663.37,89.6725,-49.2494,2727.93,65.1849,-30.3794,2510.07,13.5094,-303.533,2574.36,414.638,-250.92,2641.2,27.4192,-200.147,2699.2,36.2435,-197.102,2468.62,19.6248,-150.363,2452.33,889.108,,
812,8.11,-133.89,2426.46,1252.78,-26.8455,2451.64,887.422,-280.883,2438.78,885.581,-8.30636,2420.31,439.094,10.9384,2637.31,116.812,-54.4074,2704.64,104.159,-30.9197,2496.29,14.0122,-308.439,2572,412.924,-251.335,2641.44,26.7632,-200.594,2699.54,35.8447,-197.214,2468.94,19.7136,-153.86425,2445.21,886.5015,,
816,8.15,-135.449,2410.39,1248.5,-31.766,2438.17,886.584,-285.455,2428.04,883.035,-5.9687,2373.98,450.999,2.4573,2604.21,141.39,-64.3291,2671.05,134.313,-36.082,2467.92,23.7329,-312.75,2569.85,411.745,-252.142,2641.56,26.1369,-201.691,2699.76,35.8388,-197.769,2469.15,19.4217,-158.6105,2433.105,884.8095,,
