frame,elapsed_time(s),neck_x,neck_y,neck_c,spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
0,0,0.928563,0.295088,0.860136,0.916282,0.428715,0.753747,0.902562,0.425961,0.762404,0.902571,0.534976,0.829402,0.90095,0.635758,0.859624,0.904059,0.64394,0.677133,0.878015,0.646684,0.806194,0.878022,0.641256,0.788804,0.930057,0.434129,0.7039,0.925565,0.543113,0.811599,0.923951,0.649423,0.861552,0.926989,0.663144,0.855411,0.89638,0.663098,0.772777,0.904062,0.668471,0.719386
1,0.04,0.927042,0.295124,0.882983,0.9148,0.428756,0.762172,0.902548,0.426008,0.764917,0.90253,0.53493,0.842215,0.900959,0.63308,0.849577,0.904066,0.643863,0.701784,0.876535,0.646642,0.836472,0.87799,0.641237,0.805985,0.927071,0.436831,0.720238,0.925551,0.543101,0.81387,0.923951,0.649449,0.85889,0.927002,0.665655,0.853268,0.894857,0.663102,0.75988,0.902541,0.668501,0.712169
2,0.08,0.925549,0.295199,0.904962,0.91477,0.426002,0.777201,0.902507,0.423299,0.774621,0.902489,0.532339,0.847184,0.90096,0.633103,0.848129,0.904072,0.643883,0.69927,0.876536,0.646642,0.847499,0.877989,0.641238,0.819393,0.927054,0.428736,0.727145,0.925499,0.537722,0.83546,0.923964,0.649408,0.852846,0.927039,0.665627,0.827565,0.894876,0.663119,0.74351,0.904027,0.668518,0.697169
3,0.12,0.925487,0.295161,0.922367,0.913304,0.425964,0.785552,0.901034,0.42327,0.776249,0.901039,0.534863,0.850915,0.90095,0.633105,0.848561,0.904072,0.643876,0.706358,0.87652,0.644109,0.843094,0.877981,0.641231,0.814573,0.927,0.428681,0.739121,0.925437,0.540371,0.827068,0.923975,0.649369,0.84851,0.927053,0.663107,0.833765,0.89486,0.663112,0.742728,0.904022,0.668507,0.69032
4,0.16,0.924008,0.29517,0.926148,0.913181,0.426092,0.782965,0.900922,0.425951,0.774585,0.90095,0.534904,0.845534,0.900944,0.635713,0.836725,0.904058,0.643903,0.628231,0.876503,0.644095,0.845125,0.877986,0.641232,0.808452,0.925443,0.431409,0.753332,0.922405,0.537779,0.776723,0.923928,0.64665,0.8262,0.927048,0.663021,0.81913,0.894876,0.663084,0.695508,0.904033,0.668445,0.671032
5,0.2,0.923886,0.295221,0.907888,0.91169,0.4314,0.77327,0.899421,0.426095,0.763372,0.899495,0.535039,0.843095,0.899519,0.638432,0.842691,0.902544,0.644011,0.616862,0.87653,0.646648,0.852015,0.878005,0.64128,0.809907,0.923956,0.434178,0.756743,0.914824,0.545871,0.79617,0.922422,0.649459,0.809719,0.925554,0.663149,0.851653,0.893325,0.665634,0.756456,0.901038,0.668541,0.712545
6,0.24000000000000002,0.922377,0.295267,0.873907,0.91012,0.428706,0.741985,0.897907,0.426001,0.752438,0.89941,0.534935,0.848799,0.900913,0.638406,0.846103,0.902559,0.64397,0.617263,0.876516,0.64665,0.854182,0.878011,0.641289,0.806078,0.920906,0.431475,0.703412,0.911737,0.54045,0.851172,0.922381,0.646708,0.828188,0.925535,0.663014,0.838613,0.894856,0.665639,0.767331,0.902544,0.668497,0.721
7,0.28,0.916333,0.29529,0.847948,0.908609,0.42601,0.748668,0.896394,0.423336,0.751992,0.896376,0.535048,0.808687,0.900943,0.638399,0.833412,0.904047,0.643905,0.454606,0.877986,0.644106,0.856244,0.878053,0.641276,0.801397,0.919378,0.428737,0.704679,0.901042,0.54039,0.845786,0.916322,0.643935,0.829264,0.925431,0.657559,0.765655,0.893349,0.662958,0.742175,0.902493,0.665711,0.736077
8,0.32,0.91326,0.297931,0.899329,0.904077,0.42872,0.734665,0.893354,0.425976,0.737049,0.899421,0.535014,0.809466,0.900948,0.635752,0.808301,0.904049,0.643894,0.429289,0.876494,0.646643,0.841275,0.87802,0.641299,0.785912,0.916288,0.434169,0.70702,0.890308,0.535088,0.836155,0.914794,0.64117,0.814826,0.92397,0.646634,0.760098,0.893316,0.663086,0.701845,0.901017,0.665771,0.693342
9,0.36,0.911767,0.297978,0.904741,0.902496,0.428673,0.770589,0.891771,0.425942,0.761707,0.899404,0.532184,0.806706,0.90101,0.633008,0.794185,0.908648,0.643982,0.370697,0.874986,0.646708,0.822925,0.876509,0.641336,0.799601,0.913271,0.43146,0.740211,0.884136,0.535014,0.860381,0.91323,0.627576,0.799379,0.922425,0.638465,0.752705,0.891806,0.663059,0.58745,0.90099,0.663095,0.626001
