frame,mocap_frame,mocap_time,CLAV_x,CLAV_y,LASI_x,LASI_y,RASI_x,RASI_y,LKNE_x,LKNE_y,LANK_x,LANK_y,LHEE_x,LHEE_y,LTOE_x,LTOE_y,RKNE_x,RKNE_y,RANK_x,RANK_y,RHEE_x,RHEE_y,RTOE_x,RTOE_y,SPINEHIP_x,SPINEHIP_y
1,780,7.79,884.304044243245,166.739058369689,887.103958728628,228.757259782976,860.121378523531,224.002611058387,897.807555470237,301.698376377521,894.632536907875,357.92806970818,894.619519771937,359.568651003617,865.080271996653,360.94962368364,862.790170885766,291.815973936247,861.243132462263,347.495126122136,873.786831870043,349.059783512262,843.189657827592,351.247093097382,873.181349748949,226.295912499418
2,784,7.83,883.340982278392,166.80913904985,885.998212547122,228.832649120116,859.287655220707,224.065264625194,897.139787450705,301.736577115829,894.712540024493,357.943014241695,894.665322858516,359.624146798145,865.110558909835,360.979692891893,862.319923166724,291.815322717175,861.226238478797,347.492901213196,873.762227240665,349.028054232995,843.16643014732,351.283628903702,872.215997154749,226.364855676315
3,788,7.87,882.160183621169,166.861551988297,884.842007765923,228.870689308974,858.28922778444,224.086078218742,895.957584596661,301.737267524093,894.800296304482,357.913609092878,894.71630511047,359.643615155599,865.14870622158,361.022175957281,861.746658139452,291.8194239128,861.208760869658,347.482018842471,873.729925425059,348.988147801701,843.130923983101,351.319385562867,871.140951765214,226.394029976444
4,792,7.91,880.767668583671,166.933865498451,883.38585240878,228.833097088513,857.078971838483,224.06447268018,894.077148216709,301.728364136875,894.880531815929,357.827421423455,894.767265337694,359.601387549182,865.192289308809,361.079234656116,861.023241972607,291.805491441397,861.18486388424,347.484197980373,873.702834699496,348.944735226714,843.083980627417,351.397382613548,869.811039153314,226.364710111818
5,796,7.95,879.112941314376,167.134094060089,882.055613600321,228.875462201093,855.763940466224,224.040679848878,890.868229414662,301.942380419041,894.8291215641,357.609392131771,894.749120978551,359.340496154911,865.209511511032,361.142407487291,860.029896554888,291.847270699304,861.148809002018,347.487161125201,873.668628030413,348.890745306438,843.015138634588,351.546962311704,868.488130094393,226.372804189484
6,800,7.99,877.099968752698,167.560266461657,880.600857757246,229.004244179822,854.392748142114,224.018763661194,885.907425337468,302.055006528081,894.582359989662,357.069015761325,894.619836924546,358.553364911195,865.195324535531,361.246446206477,858.716817660822,291.942197805727,861.082255904779,347.506467933897,873.60968101292,348.849882889107,842.952941405111,351.728969620226,867.078441839607,226.424094769713
7,804,8.03,875.005533895586,168.277938627732,879.643947504956,229.400044129471,853.035213446358,224.157662571651,879.132210376295,301.85160097319,894.182508865935,355.567925223103,894.239650609184,356.567290375512,864.986839792026,361.414582970041,857.30631849488,292.10058140871,861.019302008728,347.592777189363,873.558659879249,348.859921014433,842.947048358092,351.85904292113,865.918058705283,226.687586419177
8,808,8.07,872.725256888473,169.113001908241,878.794098539092,229.749344040114,851.637185578483,224.389661885925,871.659081414623,301.377936791822,891.754830211148,352.753181334615,893.059175337906,352.603030204308,864.100652635737,361.569076535056,856.209867966766,292.215649127293,860.996480672079,347.67723953608,873.507208287757,348.887721178296,843.003433908297,351.843506197224,864.789378924459,226.976849885737
9,812,8.11,870.361843079857,170.002514331649,877.632360155747,230.07729940031,849.987520481569,224.67705201685,864.463170533718,300.312925903854,888.466035848881,348.664105113115,890.448352978722,346.871019418037,862.168020505051,361.506663666785,855.407995148449,292.275918336477,860.973927491573,347.744629267422,873.498884441375,348.918765146151,843.03813833083,351.824826928881,863.377375988356,227.283960536528
10,816,8.15,867.805096340271,170.602545757783,875.139569783146,230.06276318988,848.032204430338,224.937178517555,858.375018166719,298.626633886309,883.696998679405,344.735065989462,885.709175618485,342.152836419855,858.009093278283,359.914832717336,854.701915991628,292.283044564556,860.900487449048,347.78879805793,873.422483952018,348.863804259839,843.009600586115,351.835721858835,861.160301266642,227.411361802508
