frame,elapsed_time_s_,neck_x,neck_y,neck_c,spine_hip_x,spine_hip_y,spine_hip_c,r_hip_x,r_hip_y,r_hip_c,r_knee_x,r_knee_y,r_knee_c,r_ankle_x,r_ankle_y,r_ankle_c,r_heel_x,r_heel_y,r_heel_c,r_bigtoe_x,r_bigtoe_y,r_bigtoe_c,r_smalltoe_x,r_smalltoe_y,r_smalltoe_c,l_hip_x,l_hip_y,l_hip_c,l_knee_x,l_knee_y,l_knee_c,l_ankle_x,l_ankle_y,l_ankle_c,l_heel_x,l_heel_y,l_heel_c,l_bigtoe_x,l_bigtoe_y,l_bigtoe_c,l_smalltoe_x,l_smalltoe_y,l_smalltoe_c,switch,badFlag
0,0,755.354,159.179,0.869013,746.511,233.99,0.798007,734.875,232.538,0.782123,736.328,289.852,0.790901,743.644,345.597,0.751255,746.616,348.596,0.222467,721.532,348.561,0.686462,721.604,347.082,0.630154,756.811,234.018,0.77562,748.033,297.108,0.822774,746.603,354.436,0.826158,753.918,360.3,0.773868,721.594,357.383,0.787894,728.898,360.32,0.68425,0,0
1,0.04,755.332,159.189,0.860498,746.502,234.014,0.79683,734.872,232.566,0.781188,736.293,291.281,0.788553,744.999,345.604,0.757694,748.009,348.601,0.225777,721.541,350.017,0.66959,721.604,347.133,0.61636,756.791,235.454,0.768057,748.02,297.141,0.833649,746.627,354.434,0.819661,755.34,360.282,0.792322,721.622,357.432,0.797634,730.359,360.356,0.686502,0,0
2,0.08,755.328,159.188,0.85843,746.498,233.984,0.801103,734.869,232.538,0.791093,734.871,291.287,0.816478,745.014,345.626,0.756954,748.039,350.044,0.218104,721.558,350.045,0.63794,721.621,347.167,0.579935,756.782,234.017,0.769215,746.614,295.708,0.846401,746.625,354.404,0.809174,755.352,358.911,0.798536,721.625,357.412,0.810567,730.362,360.342,0.699433,0,0
3,0.12,755.308,160.553,0.853374,745.147,232.57,0.803416,734.854,232.537,0.799991,734.8,289.847,0.833277,743.624,345.59,0.735576,748.004,348.579,0.217325,721.555,350.028,0.621529,721.619,347.152,0.570536,756.762,234.013,0.767628,746.608,295.707,0.846103,746.623,354.416,0.811691,755.35,358.918,0.804829,721.617,357.417,0.808745,728.947,360.352,0.703285,0,0
4,0.16,753.895,160.566,0.840088,745.137,234.035,0.796085,734.84,234.003,0.794508,734.747,294.196,0.824662,742.167,345.655,0.752039,746.567,350.038,0.224631,721.54,350.069,0.618066,721.591,348.55,0.571778,755.392,235.481,0.755776,746.603,298.552,0.866725,746.63,354.413,0.815161,755.352,358.904,0.806076,721.644,357.424,0.805124,730.397,360.333,0.71159,0,0
5,0.2,753.866,160.571,0.835794,745.128,235.499,0.798725,734.82,235.464,0.798189,731.813,294.234,0.793644,742.115,345.59,0.731371,746.544,347.147,0.23432,721.522,350.061,0.667612,721.558,347.156,0.619352,756.755,236.934,0.754981,746.564,298.607,0.885111,746.616,354.407,0.814914,755.341,358.894,0.80802,721.631,358.792,0.811874,730.39,360.359,0.700904,0,0
6,0.24,752.44,160.612,0.82969,745.112,238.387,0.814966,734.82,236.956,0.809168,724.553,295.709,0.825307,737.753,345.631,0.777416,745.078,348.593,0.287737,718.66,354.419,0.748071,720.095,348.602,0.682528,755.379,238.422,0.764997,746.544,298.628,0.893147,746.627,354.399,0.818291,755.326,358.875,0.805139,723.011,358.848,0.763844,731.844,361.767,0.6692,0,0
7,0.28,750.972,160.63,0.820343,745.127,238.372,0.809152,734.834,236.95,0.805283,721.596,295.69,0.871935,736.305,344.146,0.765823,745.041,347.073,0.344556,718.637,352.986,0.733534,720.073,348.555,0.670506,755.393,238.401,0.759297,746.57,298.652,0.90619,748.002,351.52,0.81552,755.33,358.823,0.832313,723.041,358.822,0.777783,731.885,360.349,0.689341,0,0
8,0.32,749.481,162.049,0.818824,745.137,238.415,0.822909,734.831,238.382,0.822421,717.189,291.311,0.818327,733.348,342.696,0.827225,736.307,347.048,0.500989,712.768,352.977,0.779512,712.782,348.531,0.715822,756.786,239.82,0.777197,746.593,298.647,0.903305,748.022,352.977,0.819232,755.33,358.862,0.833893,723.014,358.811,0.815128,731.86,361.77,0.714154,0,0
9,0.36,748.07,162.03,0.834329,745.118,236.97,0.810406,734.82,236.936,0.816892,712.779,289.844,0.874393,731.812,344.149,0.832249,734.763,347.11,0.690346,708.396,352.95,0.834603,709.796,347.128,0.801994,755.389,238.387,0.762764,746.587,298.602,0.896643,746.614,355.874,0.85982,755.32,360.302,0.822497,721.589,358.924,0.87233,728.929,364.732,0.750445,0,0
10,0.4,747.991,160.61,0.854622,745.078,236.922,0.784849,734.778,235.466,0.79476,711.26,289.787,0.905744,722.998,339.753,0.814523,727.493,345.662,0.730043,699.614,348.549,0.796789,701.024,345.645,0.740034,755.35,236.959,0.736587,746.603,298.59,0.887814,746.619,354.446,0.84442,755.337,358.919,0.832227,721.54,358.872,0.887382,728.931,364.711,0.772402,0,0
11,0.44,746.51,160.626,0.866679,745.011,236.966,0.786367,733.35,235.486,0.802583,709.789,288.379,0.913801,715.713,341.24,0.794802,721.64,347.084,0.838243,690.766,347.074,0.815614,693.689,345.54,0.751548,755.325,238.413,0.74112,746.577,298.653,0.903256,748.005,355.917,0.868352,755.366,360.337,0.827771,721.567,360.283,0.859727,728.916,366.183,0.759067,0,0
