frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
0,0,0.947295,0.436164,0.928616,0.918979,0.429772,0.931614,0.908305,0.423873,0.843796,0.90836,0.531122,0.843156,0.887058,0.638163,0.710062,0.929602,0.675766,0.872823,0.886923,0.644458,0.758067,0.908261,0.632053,0.863338,0.926079,0.429989,0.933197,0.922693,0.543445,0.871075,0.911805,0.675882,0.753411,0.940148,0.228191,0.890583,0.894269,0.663498,0.757587
1,0.04,0.947256,0.436358,0.906971,0.918891,0.429859,0.925569,0.904735,0.423926,0.844159,0.908396,0.531081,0.847656,0.887074,0.63813,0.712167,0.929549,0.67567,0.865387,0.886941,0.644433,0.757048,0.908334,0.632037,0.865013,0.925981,0.430103,0.943129,0.922615,0.537344,0.886703,0.90827,0.675809,0.754193,0.936728,0.228233,0.885919,0.894173,0.663421,0.771984
2,0.08,0.947205,0.436334,0.897564,0.918853,0.429823,0.92142,0.90129,0.423891,0.852845,0.908349,0.530958,0.847535,0.887101,0.638118,0.69209,0.926093,0.669813,0.860444,0.886962,0.644437,0.74163,0.911825,0.631991,0.869697,0.92267,0.430059,0.948029,0.922488,0.537242,0.900754,0.904723,0.675772,0.736363,0.9332,0.228233,0.88787,0.894079,0.66338,0.751333
3,0.12,0.943854,0.43652,0.872358,0.918774,0.429953,0.918994,0.897802,0.429757,0.878266,0.9048,0.531138,0.856508,0.887043,0.6382,0.715853,0.929587,0.675683,0.860666,0.883551,0.6445,0.76528,0.908282,0.632086,0.869507,0.922627,0.430191,0.947305,0.922527,0.537462,0.894807,0.908335,0.675864,0.754766,0.929618,0.228249,0.89392,0.894221,0.669457,0.760995
4,0.16,0.943845,0.436371,0.881409,0.915409,0.429771,0.90586,0.897693,0.423849,0.883935,0.897799,0.530943,0.893745,0.886968,0.638239,0.749442,0.929608,0.66977,0.847545,0.883476,0.644562,0.80246,0.904769,0.632004,0.892206,0.922536,0.430014,0.952244,0.922433,0.537212,0.914693,0.911807,0.675853,0.757271,0.926151,0.22826,0.898089,0.894265,0.669474,0.758092
5,0.2,0.94712,0.436404,0.88485,0.91534,0.429867,0.894077,0.897647,0.423925,0.893106,0.897753,0.530981,0.900313,0.886948,0.638234,0.728649,0.92611,0.669795,0.855684,0.88346,0.644557,0.786989,0.904818,0.632015,0.88528,0.922471,0.430109,0.946038,0.919049,0.53734,0.903884,0.904769,0.675847,0.740239,0.926049,0.22836,0.906169,0.8941,0.669474,0.756161
6,0.24000000000000002,0.943775,0.436532,0.864153,0.911895,0.429855,0.886273,0.894341,0.42392,0.903792,0.897715,0.531074,0.890606,0.886984,0.638332,0.641378,0.922549,0.669659,0.850836,0.883506,0.644625,0.709211,0.911828,0.631929,0.854613,0.919124,0.430095,0.945936,0.915467,0.53746,0.866963,0.897651,0.675865,0.746352,0.922681,0.234293,0.911728,0.890538,0.66348,0.737082
7,0.28,0.943808,0.436501,0.853837,0.911812,0.429971,0.882305,0.894272,0.429776,0.931294,0.894348,0.531108,0.896599,0.886931,0.638253,0.532508,0.922432,0.669541,0.856615,0.883473,0.644517,0.601355,0.911779,0.631845,0.823556,0.91908,0.430215,0.938133,0.904837,0.537382,0.832337,0.894138,0.67586,0.799894,0.922583,0.234274,0.932167,0.887042,0.663376,0.752666
8,0.32,0.943703,0.436488,0.881507,0.90485,0.429749,0.883354,0.894121,0.423802,0.944756,0.894232,0.530917,0.924435,0.886999,0.644373,0.51839,0.922452,0.663279,0.837344,0.886941,0.64465,0.587963,0.911869,0.631672,0.836489,0.919001,0.42999,0.953354,0.897779,0.537238,0.861243,0.894246,0.675925,0.808602,0.922347,0.234264,0.937402,0.89048,0.669487,0.776166
9,0.36,0.940296,0.442473,0.847697,0.904781,0.429704,0.880058,0.894109,0.42377,0.94147,0.894007,0.530852,0.920528,0.886967,0.638349,0.456234,0.922352,0.644584,0.834218,0.886914,0.650696,0.503499,0.908347,0.625646,0.826442,0.918926,0.429915,0.947866,0.894182,0.531039,0.920274,0.894102,0.675683,0.856186,0.918947,0.234299,0.907975,0.886998,0.663334,0.790751
