#frame;root_tx;root_ty;root_tz;root_rx;root_ry;root_rz;lowerback_rx;lowerback_ry;lowerback_rz;upperback_rx;upperback_ry;upperback_rz;thorax_rx;thorax_ry;thorax_rz;lowerneck_rx;lowerneck_ry;lowerneck_rz;upperneck_rx;upperneck_ry;upperneck_rz;head_rx;head_ry;head_rz;rshoulderjoint_rx;rshoulderjoint_ry;rshoulderjoint_rz;rhumerus_rx;rhumerus_ry;rhumerus_rz;rradius_rx;rradius_ry;rradius_rz;rwrist_rx;rwrist_ry;rwrist_rz;rhand_rx;rhand_ry;rhand_rz;lshoulderjoint_rx;lshoulderjoint_ry;lshoulderjoint_rz;lhumerus_rx;lhumerus_ry;lhumerus_rz;lradius_rx;lradius_ry;lradius_rz;lwrist_rx;lwrist_ry;lwrist_rz;lhand_rx;lhand_ry;lhand_rz;rfemur_rx;rfemur_ry;rfemur_rz;rtibia_rx;rtibia_ry;rtibia_rz;rfoot_rx;rfoot_ry;rfoot_rz;rtoes_rx;rtoes_ry;rtoes_rz;lfemur_rx;lfemur_ry;lfemur_rz;ltibia_rx;ltibia_ry;ltibia_rz;lfoot_rx;lfoot_ry;lfoot_rz;ltoes_rx;ltoes_ry;ltoes_rz;RANK_to_LANK_distance;height;alignment;v_lfemur_rx;v_ltibia_rx;v_lhumerus_rx;v_rfemur_rx;v_rtibia_rx;v_rhumerus_rx
0;27.5283;947.031;-162.273;90.3539;-68.4262;88.7534;-27.9169;-1.34631;-6.74086;-5.61053;-0.442179;1.33505;9.16504;-0.60375;5.21657;10.9601;-2.58813;-0.454261;6.98718;-3.69526;-3.48731;0.305177;-1.96703;-0.890259;1.40773;-2.33004;-42.151;170.611;-50.8749;-171.366;34.0924;4.0393e-013;2.22639e-014;5.51468e-013;-3.83111;-3.83318e-013;9.17138;3.64757;-17.8319;0.203342;0.362531;40.2882;168.566;76.443;179.596;37.3758;-2.63986e-013;-1.98785e-014;5.0288e-014;-5.03818;2.93746e-013;18.0376;4.92348;-12.2796;-16.9875;12.4121;5.51079;-5.08889e-014;4.45278e-014;9.54166e-015;-177.759;-54.4161;156.851;-3.18055e-014;2.01071e-013;2.26615e-013;-14.9368;-8.92901;-11.753;-4.05521e-014;-3.65764e-014;-1.39149e-014;-7.32349;6.51058;10.1928;1.8815e-013;8.2067e-014;-3.26007e-014;309.905;1578.71;0;0;0;0;0;0;0
1;27.5923;947.075;-162.162;90.4047;-68.4436;88.809;-27.9105;-1.33664;-6.7245;-5.61863;-0.435931;1.33665;9.15182;-0.599967;5.21092;11.0007;-2.58587;-0.463537;7.01507;-3.69524;-3.48551;0.307673;-1.96819;-0.887912;1.39276;-2.30529;-42.1505;170.636;-50.9688;-171.403;34.1083;6.36111e-015;2.54444e-014;-7.80986e-014;-3.83649;2.23139e-014;9.22642;3.6541;-17.7631;0.191616;0.341657;40.2858;168.698;76.4619;179.734;37.3699;-1.90833e-014;-5.80451e-014;-3.75156e-014;-5.02281;-7.26365e-014;18.0537;4.90929;-12.2349;-16.9784;12.4311;5.50782;-1.98785e-014;-2.38542e-014;7.35503e-015;-177.793;-54.4127;156.873;-4.92986e-014;6.01324e-015;6.52014e-014;-14.9213;-8.91038;-11.7616;-9.54166e-015;-1.27222e-014;-1.59028e-015;-7.31074;6.50306;10.1978;2.40529e-014;-9.22485e-015;-7.99114e-014;309.888;1578.74;0;0.0155001;3.10104e-014;0.132004;0.00909996;3.10104e-014;0.0250092
2;27.6906;947.1;-162.044;90.4364;-68.4506;88.8469;-27.8987;-1.3289;-6.70562;-5.63194;-0.433245;1.33351;9.13038;-0.597433;5.19706;11.0257;-2.59246;-0.4375;7.0449;-3.70211;-3.50462;0.311935;-1.97193;-0.897931;1.38344;-2.2906;-42.1423;170.653;-51.0847;-171.434;34.1127;1.01778e-013;-3.10104e-013;3.82529e-014;-3.84922;-6.24798e-013;9.29397;3.66746;-17.7028;0.189985;0.338701;40.2893;168.751;76.4854;179.791;37.3614;2.41722e-013;2.31385e-013;3.9034e-013;-5.05267;9.97801e-014;18.0764;4.93753;-12.286;-16.983;12.443;5.50541;5.56597e-014;-1.59028e-015;-1.54058e-014;-177.862;-54.41;156.924;1.81292e-013;2.94201e-013;-1.86858e-013;-14.9194;-8.89855;-11.7662;6.04305e-014;-1.59028e-015;-9.54166e-015;-7.30519;6.48218;10.1992;-3.61291e-013;1.56773e-013;7.55382e-015;309.852;1578.76;0;0.00189972;6.99722e-014;0.053009;-0.00460052;7.55382e-014;0.0169983
3;27.7978;947.176;-161.937;90.4903;-68.4662;88.9073;-27.8793;-1.32003;-6.69137;-5.64417;-0.428504;1.33468;9.10612;-0.593936;5.19148;11.0644;-2.5901;-0.434192;7.06662;-3.70047;-3.501;0.312628;-1.97179;-0.897114;1.37464;-2.27781;-42.1222;170.658;-51.1583;-171.434;34.1227;7.18805e-013;1.90833e-014;7.87371e-013;-3.8468;-7.23616e-013;9.29271;3.63403;-17.6929;0.188737;0.336444;40.2916;168.767;76.5117;179.824;37.3531;-4.26194e-013;-5.80451e-014;2.54243e-013;-5.06175;4.47021e-013;18.0731;4.94457;-12.3053;-16.9799;12.4632;5.50207;-4.77083e-015;-9.54166e-015;3.97569e-015;-177.91;-54.4058;156.96;7.95139e-015;7.73769e-014;3.81667e-014;-14.9086;-8.87807;-11.7728;-1.11319e-014;-4.77083e-015;-5.56597e-015;-7.30367;6.48171;10.2011;-1.41137e-014;4.30182e-014;-2.3059e-014;309.843;1578.82;0;0.0108004;-7.15624e-014;0.0159912;0.00309944;-6.04305e-014;0.00500488
4;27.8544;947.247;-161.748;90.4992;-68.4938;88.9526;-27.8699;-1.30329;-6.6352;-5.6514;-0.424418;1.3351;9.09293;-0.590133;5.16055;11.1097;-2.597;-0.40438;7.09966;-3.70834;-3.50706;0.314893;-1.97607;-0.903436;1.35972;-2.25435;-42.1077;170.683;-51.1886;-171.469;34.1268;-1.01778e-013;-1.1291e-013;1.89671e-013;-3.84916;-6.61457e-014;9.30183;3.66101;-17.6959;0.166739;0.296949;40.3147;168.993;76.5283;180.074;37.3471;1.145e-013;8.26944e-014;7.38397e-014;-5.07391;7.1844e-015;18.082;4.95804;-12.3164;-16.9579;12.4767;5.52786;-6.36111e-015;9.54166e-015;-5.36719e-015;-177.99;-54.3925;157.028;1.11319e-014;-4.96962e-016;2.62396e-014;-14.8845;-8.86513;-11.7571;5.56597e-015;1.43125e-014;-1.31198e-014;-7.28841;6.46176;10.2061;2.37548e-014;6.03187e-014;1.02573e-013;309.83;1578.89;0;0.0241003;1.66979e-014;0.225998;0.0220013;-1.59028e-015;0.0249939
5;27.9799;947.329;-161.588;90.4981;-68.5068;88.9936;-27.866;-1.29246;-6.58275;-5.65506;-0.426902;1.34197;9.08745;-0.589904;5.1369;11.1371;-2.60033;-0.380077;7.12484;-3.71132;-3.51322;0.317716;-1.97779;-0.909184;1.35799;-2.2516;-42.1063;170.651;-51.2099;-171.476;34.1287;-5.53417e-013;-1.38354e-013;-5.0367e-013;-3.85922;3.64204e-013;9.31009;3.68405;-17.7054;0.162739;0.289684;40.3266;169.038;76.5375;180.147;37.3479;3.59403e-013;3.73715e-014;1.62049e-013;-5.07799;-3.60819e-013;18.0846;4.96044;-12.3315;-16.9564;12.4893;5.56041;-1.59028e-015;-2.70347e-014;4.96962e-016;-178.057;-54.3865;157.082;-4.13472e-014;-2.8958e-013;-2.38542e-015;-14.8802;-8.8533;-11.731;-3.97569e-015;-7.95139e-015;8.34896e-015;-7.27261;6.39999;10.2123;-1.2921e-014;-1.02728e-013;-1.68569e-013;309.764;1578.96;0;0.00429916;-9.54166e-015;0.0449982;0.00149918;4.77083e-015;-0.0319977
6;28.2156;947.456;-161.467;90.5019;-68.4999;89.0258;-27.8628;-1.29459;-6.56728;-5.66888;-0.437191;1.35448;9.07161;-0.594051;5.13835;11.1764;-2.59941;-0.352549;7.14096;-3.70863;-3.521;0.315807;-1.97634;-0.915895;1.35057;-2.24128;-42.0839;170.621;-51.2279;-171.451;34.1319;9.22361e-014;9.70069e-014;-4.14413e-014;-3.86099;4.70199e-014;9.31525;3.7045;-17.7124;0.158432;0.282;40.3281;169.119;76.5464;180.257;37.347;-2.44903e-013;-2.13097e-013;1.92384e-013;-5.08105;-2.87379e-014;18.0843;4.96401;-12.3411;-16.982;12.4976;5.57538;-3.89618e-014;-1.59028e-014;1.36167e-014;-178.181;-54.3832;157.178;-1.145e-013;-1.22253e-013;1.37559e-013;-14.9045;-8.84323;-11.7095;-4.29375e-014;-1.11319e-014;7.95139e-016;-7.25057;6.36724;10.2245;2.09022e-013;-8.13837e-014;-9.46215e-014;309.733;1579.06;0;-0.0242996;-3.89618e-014;0.0810089;-0.0256004;-3.73715e-014;-0.0299988
7;28.3957;947.593;-161.299;90.5274;-68.5126;89.0464;-27.8587;-1.29935;-6.57866;-5.66804;-0.440156;1.35357;9.07087;-0.595677;5.14288;11.1763;-2.60423;-0.310389;7.18765;-3.71053;-3.54019;0.329073;-1.97766;-0.92931;1.34676;-2.2357;-42.0755;170.606;-51.3041;-171.461;34.1311;-2.38542e-013;-1.55847e-013;-2.39085e-014;-3.86527;1.43451e-014;9.34326;3.66443;-17.6954;0.148387;0.264045;40.335;169.182;76.5435;180.35;37.3453;1.59028e-013;8.42847e-014;2.04762e-013;-5.09595;-4.15113e-014;18.0721;4.97818;-12.3554;-16.9848;12.5009;5.5574;1.43125e-014;1.27222e-014;-3.37934e-015;-178.307;-54.3748;157.272;1.01778e-013;2.21943e-013;7.95139e-016;-14.9035;-8.83938;-11.7305;1.11319e-014;-1.74931e-014;-8.74653e-015;-7.23181;6.29818;10.2386;-8.18993e-014;8.39368e-014;-3.49861e-014;309.691;1579.17;0;0.0010004;5.40694e-014;0.0630035;-0.00279999;5.32743e-014;-0.0149994
8;28.5854;947.753;-161.044;90.5191;-68.5464;89.066;-27.8435;-1.29602;-6.54819;-5.6489;-0.444866;1.36889;9.08604;-0.597597;5.14101;11.1529;-2.60936;-0.309139;7.22491;-3.71679;-3.54436;0.344215;-1.98188;-0.931346;1.35261;-2.24495;-42.0808;170.556;-51.313;-171.446;34.1339;1.33583e-013;1.33583e-013;-1.49829e-013;-3.87651;5.65843e-014;9.35881;3.66369;-17.7018;0.159425;0.283944;40.3129;169.044;76.5322;180.255;37.3507;-1.01778e-013;-1.98785e-014;-9.02041e-014;-5.07367;8.46162e-014;18.0671;4.95972;-12.3645;-16.9668;12.5036;5.57255;1.82882e-014;-6.36111e-015;-7.25564e-015;-178.463;-54.3624;157.387;-1.59028e-015;-8.07066e-014;-9.54166e-014;-14.884;-8.83776;-11.7292;2.3059e-014;9.54166e-015;7.95139e-016;-7.20896;6.24706;10.2535;-5.36719e-014;-2.00276e-014;5.1684e-015;309.6;1579.31;0;0.0194998;1.19271e-014;-0.138;0.0179996;3.9757e-015;-0.0500031
9;28.9141;947.951;-160.817;90.5131;-68.5686;89.1015;-27.801;-1.28488;-6.51032;-5.65546;-0.445502;1.38141;9.0577;-0.595785;5.13259;11.1565;-2.61202;-0.304558;7.2674;-3.72074;-3.5322;0.357059;-1.98508;-0.928614;1.35685;-2.25336;-42.0654;170.521;-51.289;-171.425;34.1346;-3.65764e-013;-2.57625e-013;1.78521e-013;-3.88552;5.57879e-015;9.35044;3.70529;-17.7252;0.158414;0.282199;40.3081;168.947;76.5449;180.188;37.3538;2.70347e-013;2.23434e-013;3.04948e-013;-5.09617;5.98721e-014;18.0415;4.97768;-12.3836;-16.9723;12.5123;5.5988;4.77083e-014;3.33958e-014;-1.23246e-014;-178.593;-54.3575;157.477;1.43125e-013;7.15476e-013;-1.7016e-013;-14.8883;-8.82865;-11.7082;3.89618e-014;-9.54166e-015;-1.82882e-014;-7.17035;6.14853;10.2647;-2.49375e-013;2.03965e-013;8.74653e-015;309.511;1579.46;0;-0.00430012;1.59028e-014;-0.0970001;-0.00549889;2.94201e-014;-0.0350037
