frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
0,0,0.945384,0.445092,0.88889,0.916288,0.425998,0.76178,0.902571,0.423264,0.761138,0.90256,0.535021,0.851394,0.878043,0.641294,0.7865,0.927018,0.665765,0.866355,0.878028,0.646705,0.806058,0.90095,0.635776,0.862481,0.93006,0.428757,0.710202,0.927029,0.540476,0.810001,0.902534,0.671167,0.727245,0.9377,0.232631,0.909649,0.89486,0.663141,0.797186
1,0.04,0.943874,0.447671,0.877948,0.914765,0.428696,0.770889,0.902514,0.425964,0.772596,0.902531,0.535065,0.856248,0.878025,0.641303,0.790206,0.927019,0.665779,0.861087,0.877996,0.646706,0.811589,0.900948,0.635799,0.863263,0.92704,0.434113,0.722786,0.92701,0.545876,0.815446,0.902527,0.671193,0.730751,0.936248,0.232618,0.902624,0.894853,0.665652,0.796016
2,0.08,0.940837,0.447753,0.878436,0.913314,0.426066,0.782779,0.901049,0.425914,0.779204,0.902492,0.535061,0.861948,0.878014,0.641301,0.791658,0.927051,0.665772,0.864953,0.876555,0.646683,0.817031,0.900936,0.638457,0.877365,0.927012,0.431403,0.738395,0.925531,0.54318,0.83248,0.902539,0.671223,0.714536,0.936158,0.232615,0.895564,0.894869,0.665678,0.780964
3,0.12,0.939325,0.447798,0.88975,0.913249,0.428723,0.784628,0.90098,0.426002,0.784706,0.901028,0.537641,0.863124,0.878023,0.641317,0.804567,0.928524,0.665754,0.851139,0.877994,0.646706,0.827951,0.900923,0.638455,0.877115,0.92554,0.434117,0.741324,0.925422,0.545885,0.838165,0.902557,0.671207,0.705427,0.933135,0.232585,0.852534,0.894881,0.66567,0.776343
4,0.16,0.939261,0.447786,0.906799,0.913167,0.42609,0.793004,0.899502,0.425959,0.783834,0.900961,0.537641,0.861166,0.878009,0.641298,0.801633,0.928542,0.665675,0.834093,0.876537,0.646659,0.834639,0.8995,0.638512,0.875825,0.925444,0.428789,0.764108,0.923863,0.545844,0.804862,0.904026,0.671218,0.697767,0.931626,0.232603,0.844245,0.89637,0.66569,0.76542
5,0.2,0.937824,0.447803,0.927723,0.911642,0.428721,0.769076,0.899394,0.426004,0.760719,0.899445,0.535043,0.857421,0.87803,0.641301,0.804573,0.927053,0.66565,0.846011,0.876552,0.646651,0.849943,0.899505,0.638471,0.858353,0.923897,0.431489,0.742751,0.914815,0.54582,0.798672,0.902532,0.671164,0.71945,0.928565,0.238011,0.834741,0.894861,0.665661,0.775694
6,0.24000000000000002,0.937807,0.447859,0.933283,0.910112,0.428716,0.744822,0.897888,0.425993,0.751116,0.899366,0.535097,0.831039,0.878047,0.641323,0.801613,0.927035,0.663067,0.836967,0.878007,0.646702,0.839957,0.899493,0.635826,0.852874,0.920908,0.434131,0.708885,0.911737,0.545864,0.863362,0.902561,0.67121,0.73096,0.925491,0.237949,0.889773,0.894874,0.665705,0.809161
7,0.28,0.937749,0.447927,0.930459,0.905587,0.428781,0.730815,0.894842,0.425997,0.734633,0.896358,0.537708,0.802223,0.879547,0.641326,0.815675,0.925547,0.657556,0.764464,0.878039,0.646678,0.859538,0.899518,0.638461,0.854596,0.917819,0.436916,0.704893,0.901054,0.543175,0.846916,0.904034,0.668457,0.769731,0.923961,0.243407,0.889504,0.896367,0.665653,0.84834
8,0.32,0.937681,0.450453,0.924126,0.902541,0.431473,0.741477,0.891786,0.426077,0.731309,0.897906,0.535068,0.80257,0.879539,0.641349,0.803138,0.925461,0.6441,0.770297,0.878003,0.6467,0.844474,0.900942,0.638434,0.835495,0.914756,0.439616,0.734076,0.891786,0.537782,0.818879,0.902514,0.668447,0.769124,0.922389,0.243438,0.856732,0.896363,0.66571,0.81362
9,0.36,0.936219,0.447922,0.920825,0.901044,0.431389,0.774568,0.890274,0.426046,0.766836,0.899427,0.532235,0.821796,0.876559,0.641338,0.765123,0.922391,0.641157,0.8283,0.876463,0.646707,0.808371,0.900952,0.630364,0.781788,0.913237,0.436876,0.751671,0.885681,0.535063,0.875989,0.899446,0.665686,0.747823,0.919357,0.243462,0.832853,0.890232,0.663061,0.753715
