Time,CLAV,,,LASI,,,RASI,,,LKNE,,,LANK,,,LHEE,,,LTOE,,,RKNE,,,RANK,,,RHEE,,,RTOE,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-144.659,-43.6445,1305.15,-31.2314,-57.8589,918.188,-287.806,-57.0998,908.967,1.63075,64.4737,449.8,-16.6222,111.938,62.0558,-79.6702,169.521,24.8967,-66.7085,-63.7791,26.4241,-335.373,59.6126,437.082,-325.172,92.5465,40.5668,-265.287,142.78,46.3704,-298.187,-85.9659,31.1619
0.01,-144.604,-43.4722,1305.17,-31.1656,-57.8262,918.222,-287.742,-57.0312,909.063,1.6097,64.3768,449.827,-16.6341,111.918,62.0757,-79.6868,169.522,24.92,-66.7159,-63.7529,26.4007,-335.161,59.4029,437.1,-325.169,92.5384,40.6103,-265.276,142.804,46.3764,-298.211,-86.0082,31.1156
0.02,-144.536,-43.3424,1305.21,-31.1392,-57.6851,918.215,-287.621,-56.8885,909.185,1.59994,64.2137,449.805,-16.6434,111.896,62.0975,-79.6908,169.521,24.935,-66.7236,-63.7688,26.4127,-335.178,59.1149,437.224,-325.139,92.5051,40.5788,-265.279,142.826,46.3973,-298.241,-86.0224,31.017
0.03,-144.464,-43.2065,1305.26,-31.0384,-57.5734,918.295,-287.534,-56.7493,909.309,1.55171,64.0239,449.796,-16.6581,111.89,62.1205,-79.7225,169.49,24.9227,-66.7479,-63.7582,26.4103,-334.967,58.6985,437.233,-325.143,92.5059,40.5813,-265.301,142.819,46.4115,-298.281,-86.0698,30.9638
0.04,-144.337,-42.9808,1305.33,-30.8475,-57.5424,918.444,-287.412,-56.5878,909.467,1.45363,63.7158,449.79,-16.6748,111.839,62.156,-79.7362,169.488,24.9728,-66.7557,-63.7636,26.4105,-334.753,58.1378,437.253,-325.146,92.4616,40.6015,-265.323,142.783,46.4649,-298.294,-86.0753,30.8603
0.05,-144.219,-42.7371,1305.4,-30.7259,-57.3975,918.532,-287.287,-56.4216,909.622,1.31009,63.3436,449.773,-16.7192,111.812,62.2088,-79.7494,169.482,25.0131,-66.7777,-63.799,26.4235,-334.468,57.5919,437.263,-325.123,92.4271,40.6344,-265.337,142.781,46.483,-298.317,-86.1123,30.765
0.06,-144.063,-42.4858,1305.5,-30.7263,-57.1232,918.575,-287.19,-56.2059,909.813,1.16496,62.9607,449.716,-16.7547,111.782,62.2469,-79.7795,169.46,25.034,-66.7829,-63.7948,26.423,-334.13,56.9614,437.34,-325.127,92.406,40.6732,-265.338,142.781,46.5672,-298.345,-86.176,30.6273
0.07,-143.863,-42.2201,1305.58,-30.5888,-56.9379,918.724,-287.073,-56.0271,909.995,0.970722,62.4957,449.699,-16.8087,111.752,62.3212,-79.816,169.458,25.0566,-66.8028,-63.7784,26.417,-333.669,56.2512,437.38,-325.136,92.369,40.7011,-265.344,142.782,46.6415,-298.393,-86.208,30.4696
